"Root","Hoofd (root)"
"Dropdown","Dropdown"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 breidt \Magento\Framework\Filter\Template niet uit"
"As low as","Vanaf"
"test","test"
"Some text is here.","Er is hier wat tekst."
"Some exception","Een uitzondering"
"Could not get extension attributes","Kan extension attributes niet ophalen"
"message","bericht"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","Afbeeldingen"
"Select...","Selecteer..."
"Advanced Pricing","Geavanceerde prijzen"
"Customer Group Price","Klantgroep prijs"
"Customer Group","Klantengroep"
"Special Price From","Speciale prijs vanaf"
"To","Aan"
"Done","Gereed"
"Product Alerts","Product-notificaties"
"Alert stock","Voorraad melding"
"Alert Stock","Voorraad melding"
"Alert price","Prijs melding"
"Alert Price","Prijs melding"
"Add Selected","Geselecteerde toevoegen"
"Select Attribute","Selecteer Attribuut"
"Create New Attribute","Nieuw attribuut aanmaken"
"Customizable Options","Aanpasbare opties"
"Custom options let customers choose the product variations they want.","Aangepaste opties laat klanten de productvariaties die ze willen kiezen."
"Add Option","Voeg optie toe"
"New Option","Nieuwe optie"
"Select Product","Selecteer Product"
"Option Title","Titel optie"
"Add Value","Waarde toevoegen"
"Title","Titel"
"Option Type","Optietype"
"Required","Vereist"
"Price Type","Prijstype"
"Max Characters","Max tekens"
"Compatible File Extensions","Compatibele bestandsextensies"
"Enter separated extensions, like: png, jpg, gif.","Voer gescheiden extensies in, zoals: png, jpg, gif."
"Maximum Image Size","Maximum grootte afbeelding"
"Please leave blank if it is not an image.","Leeg laten indien dit geen afbeelding is."
"%1","%1"
"This item has weight","Dit product heeft een gewicht"
"This item has no weight","Dit product heeft geen gewicht"
"Set Product as New From","Stel het product in als nieuw vanaf"
"Related Products, Up-Sells, and Cross-Sells","Verwante producten, up-sells en cross-sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Verwante producten worden getoond aan bezoekers als toevoeging aan het product dat de bezoeker bekijkt."
"Add Related Products","Verwante producten toevoegen"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Een duurder alternatief of alternatief van hogere kwaliteit dan het huidige product."
"Add Up-Sell Products","Up-sell producten toevoegen"
"Up-Sell Products","Up-sell producten"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Extra of complementaire producten. Deze impuls-aankopen worden in de winkelwagen getoond."
"Add Cross-Sell Products","Cross-sell producten toevoegen"
"Cross-Sell Products","Cross-sell producten"
"Add Selected Products","Voeg geselecteerde producten toe"
"Remove","Verwijder"
"Thumbnail","Thumbnail"
"Actions","Acties"
"Schedule Update From","Plan Update van"
"Product in Websites","Product in websites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Als je Magento installatie meerdere website heeft, dan kun je het bereik aanpassen om producten op specifieke websites te gebruiken."
"name","naam"
"Copy Data from","Kopieer gegevens van"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Als er geen aangepaste bovenliggende categorieën zijn, gebruik dan de standaard bovenliggende categorie. Je kan de categorie op elk moment wijzigen in <a href=""%1"" target=""_blank"">Producten > Categorieën</a>."
"This operation can take a long time","Deze bewerking kan lang duren"
"Collapse All","Alles inklappen"
"Expand All","Alles uitklappen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bevestig sitewissel. Alle gegevens die nog niet opgeslagen zijn, zullen verloren gaan."
"Use Default Value","Gebruik standaard waarde"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Manage Options (Values of Your Attribute)","Beheer opties (waarden van je attribuut)"
"Is Default","Is standaard"
"Sort Option","Sorteeroptie"
"Groups","Groepen"
"Double click on a group to rename it.","Dubbelklik op een groep om te hernoemen."
"Unassigned Attributes","Niet-toegewezen attributen"
"A name is required.","Een naam is verplicht."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen. Verplaats de systeemattributen naar een andere groep en probeer opnieuw."
"Please select a node.","Selecteer een node."
"Please enter a new group name.","Geef een nieuwe groepsnaam op."
"An attribute group named ""/name/"" already exists.","Een attribuut groep genaamd ""/name/"" bestaat al."
"Sorry, we're unable to complete this request.","Deze aanvraag kan niet voltooid worden."
"You can't remove attributes from this attribute set.","Je kan geen attributen verwijderen uit deze attributenset."
"Custom Options","Eigen opties"
"This is a required option.","Dit is een verplichte optie."
"The field isn't complete.","Het veld is niet compleet."
"Compatible file extensions to upload","Compatibele bestandsextensies om te uploaden"
"Maximum image width","Maximum breedte afbeelding"
"Maximum image height","Maximum hoogte afbeelding"
"Maximum number of characters:","Maximale aantal karakters:"
"start typing to search template","begin met typen om sjabloon te vinden"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Voorraad beheren"
"Qty","Aantal"
"Out-of-Stock Threshold","Niet op voorraad drempel"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Qty Uses Decimals","Hoeveelheid gebruikt decimalen"
"Backorders","Nabestellingen"
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Qty Increments","Opklimmend aantal"
"Stock Availability","Beschikbaarheid voorraad"
"In Stock","Op voorraad"
"Out of Stock","Niet op voorraad"
"Add Product To Websites","Product aan websites toevoegen"
"Remove Product From Websites","Product van websites verwijderen"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Als je een product in de catalogus of zoekresultaten wilt verbergen, zet de status op 'Uitgeschakeld'."
"We can't save custom-defined options for bundles with dynamic pricing.","Kan customopties bij bundels met dynamische prijzen niet opslaan."
"Delete Custom Option","Aangepaste optie verwijderen"
"Sort Custom Options","Aangepaste sorteeropties"
"Input Type","Invoertype"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Aangepaste sorteeroptie"
"Item Price","Productprijs"
"Action","Actie"
"and above","en hoger"
"Delete Tier","Verwijder staffel"
"Product In Websites","Product in websites"
"(Copy data from: %1)","(Gegevens kopi&euml;ren van: %1)"
"Browse to find or drag image here","Bladeren om de afbeelding te vinden of sleep de afbeelding hierheen"
"Delete image","Verwijder afbeelding"
"Hidden","Verborgen"
"Alt Text","Alt-tekst"
"Role","Rol"
"Image Size","Afbeeldingsgrootte"
"{size}","{size}"
"Image Resolution","Afbeeldingresolutie"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Verbergen van product pagina"
"Allow Multiple Boxes for Shipping","Meerdere dozen voor verzending toestaan"
"start typing to search attribute","begin met typen om attribuutset te vinden"
"Basic Settings","Basis instellingen"
"Advanced Settings","Geavanceerde Instellingen"
"Changes have been made to this section that have not been saved.","Wijzigingen, die in deze sectie zijn gemaakt, zijn nog niet opgeslagen."
"This tab contains invalid data. Please resolve this before saving.","Dit tabblad bevat ongeldige gegevens; deze moeten voor het opslaan gecorrigeerd worden."
"Mass Actions","Bulk acties"
"Select All","Alles selecteren"
"Unselect All","Deselecteer alles"
"Select Visible","Selecteer zichtbare"
"Unselect Visible","Deselecteer zichtbare"
"Special Price","Speciale prijs"
"Regular Price","Normale prijs"
"Buy %1 for: ","Koop %1 voor: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Koop %1 voor %2 en <strong class=""benefit"">bespaar<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Koop %1 voor %2 per stuk"
"Shop By","Filteren"
"Shopping Options","Selectie verfijnen"
"Compare Products","Producten vergelijken"
"Print This Page","Print deze pagina"
"Remove Product","Product verwijderen"
"Add to Cart","In Winkelwagen"
"In stock","Op voorraad"
"Out of stock","Niet op voorraad"
"Add to Wish List","Voeg toe aan verlanglijst"
"You have no items to compare.","Geen producten geselecteerd."
"Remove This Item","Verwijder dit artikel"
"Compare","Vergelijken"
"Clear All","Alles wissen"
"Prev","Vorige"
"Next","Volgende"
"We can't find products matching the selection.","Geen producten gevonden voor deze selectie."
"Learn More","Lees verder"
"Add to Compare","Toevoegen om te vergelijken"
"We found other products you might like!","Andere producten die mogelijk iets voor jou zijn!"
"More Choices:","Meer keuzes:"
"Check items to add to the cart or","Selecteer items om ze aan het mandje toe te voegen of"
"select all","alles selecteren"
"Items %1-%2 of %3","Producten %1-%2 van %3"
"%1 Item","%1 product"
"%1 Items","%1 producten"
"Show","Toon"
"per page","per pagina"
"Sort By","Sorteer op"
"Set Ascending Direction","Van laag naar hoog sorteren"
"Set Descending Direction","Van hoog naar laag sorteren"
"View as","Tonen als"
"More Information","Meer informatie"
"Loading...","Bezig met laden..."
"* Required Fields","* Verplichte velden"
"Availability","Beschikbaarheid"
"Warning message","Waarschuwingsbericht"
"Submit","Bevestig"
"We don't recognize or support this file extension type.","We herkennen of ondersteunen dit bestandsformaat type niet."
"Configure Product","Configureer product"
"OK","Oké"
"This value does not follow the specified format (for example, 200x300).","Deze waarde volgt niet de opgegeven opmaak (bijvoorbeeld 200x300)."
"Select type of option.","Type optie selecteren."
"Please add rows to option.","Voeg rijen toe aan optie."
"Please select items.","Selecteer artikelen."
"Choose existing category.","Kies bestaande categorie."
"Image Detail","Afbeelding details"
"Adding...","Toevoegen..."
"Added","Toegevoegd"
"does not implement Storage Interface","implementeert de Storage Interface niet"
"unselect all","alles deselecteren"
"Inventory","Assortimentsbeheer"
"Catalog Section","Catalogus sectie"
"Small","Klein"
"Main","Hoofd"
"Custom image","Aangepaste afbeelding"
"Product Fields Auto-Generation","Product velden Auto-generatie"
"Mask for SKU","Masker voor art.nr."
"Use {{name}} as Product Name placeholder","Gebruik {{name}} als Productnaam aanduiding"
"Mask for Meta Title","Masker voor Meta-titel"
"Mask for Meta Keywords","Masker voor Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Gebruik {{name}} als productnaam of {{sku}} als artikelnummer aanduidingen"
"Mask for Meta Description","Masker voor metabeschrijving"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Gebruik {{name}} en {{description}} als aanduidingen voor productnaam en productbeschrijving"
"Recently Viewed/Compared Products","Recent bekeken/vergeleken producten"
"Lifetime of products in Recently Viewed Widget","Levensduur van de producten in de Recentelijk Bekeken widget"
"Lifetime of products in Recently Compared Widget","Levensduur van producten in de Recentelijk Vergeleken Widget"
"Synchronize widget products with backend storage","Synchroniseer widget producten met backend-opslag"
"Storefront","Winkeletalage"
"List Mode","Lijstweergave"
"Products per Page on Grid Allowed Values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Comma-separated.","gescheiden door een komma"
"Products per Page on Grid Default Value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Must be in the allowed values list","Moet voorkomen in de toegestane waarden lijst"
"Products per Page on List Allowed Values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List Default Value","Standaardwaarde voor producten per pagina in lijstweergave"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Flat Catalog Product","Gebruik platte catalogus producten"
"Product Listing Sort by","Productlijst sorteren op"
"Allow All Products per Page","Alle producten per pagina toestaan"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Toon 'Alle Producten' of 'X producten per pagina' in de dropdown"
"Allow Dynamic Media URLs in Products and Categories","Dynamische URL's voor producten en categorieën toestaan"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Bv. {{media url=""pad/naar/afbeelding.jpg""}} {{skin url=""pad/naar/afbeelding.jpg""}}. Dynamisch parsen van heeft invloed op catalogus-performance."
"Product Image Placeholders","Placeholder voor productafbeelding"
"Search Engine Optimization","Zoekmachine-optimalisatie (SEO)"
"Page Title Separator","Scheidingsteken paginatitel"
"Use Canonical Link Meta Tag For Categories","Canonical links voor categorieen"
"Use Canonical Link Meta Tag For Products","Canonical links voor producten"
"Catalog Price Scope","Scope catalogusprijs"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Bepalend voor de scope op valuta ingesteld onder (""Valuta-instellingen"" > ""Valuta-opties"" > ""Standaardvaluta"")."
"Category Top Navigation","Categorie topnavigatie"
"Maximal Depth","Maximale Diepte"
"Date & Time Custom Options","Datum & Tijd klantopties"
"Use JavaScript Calendar","Maak gebruik van Javascript kalender"
"Date Fields Order","Veld volgorde"
"Time Format","Tijdsformaat"
"Year Range","Jaar"
"Please use a four-digit year format.","Gebruik een jaarnotatie met vier cijfers."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Gebruik statische URL's voor media in WYSIWYG"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Dit geldt alleen voor catalogus producten en categorieën. Media-inhoud wordt in de editor ingevoegd als een statische URL. Media-inhoud wordt niet bijgewerkt als de base URL in de systeemconfiguratie gewijzigd word."
"Top Level Category","Top level categorie"
"Product Info Column","Kolom productgegevens"
"Block after Info Column","Blok na info-kolom"
"Product Flat Data","Product platte data"
"Reorganize EAV product structure to flat structure","EAV productstructur naar platte structuur omschrijven"
"Category Flat Data","Categorieën Flat Data"
"Reorganize EAV category structure to flat structure","EAV categoriestructuur naar platte structuur omschrijving"
"Category Products","Categorie producten"
"Indexed category/products association","Categorieën/product-koppeling"
"Product Categories","Productcategorieën"
"Indexed product/categories association","Geïndexeerde product/categorieën koppeling"
"Product Price","Productprijs"
"Index product prices","Productprijzen"
"Product EAV","Product EAV"
"Index product EAV","Index product EAV"
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
"List of Products that are set as New","Producten Lijst met nieuwe producten"
"Display Type","Weergave modus"
"All products - recently added products, New products - products marked as new","Alle producten - recent toegevoegde producten, Nieuwe producten - producten gemarkeerd als nieuw"
"All products","Alle producten"
"New products","Nieuwe prodcuten"
"Display Page Control","Toon paginering"
"Number of Products per Page","Aantal producten per pagina"
"Number of Products to Display","Aantal producten op de display"
"Template","Template"
"New Products Grid Template","Nieuwe producten tabel-sjabloon"
"New Products List Template","Nieuwe producten lijst-sjabloon"
"New Products Images and Names Template","Nieuwe product afbeeldingen en namen sjabloon"
"New Products Names Only Template","Enkel nieuwe producten sjabloon"
"New Products Images Only Template","Enkel nieuwe afbeeldingen sjabloon"
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 als standaardwaarde, indien niet ingesteld. Voor direct vernieuwen, leeg de Blok-HTML output cache."
"Catalog Product Link","Catalogus Producten Link"
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"Select Product...","Selecteer product..."
"Anchor Custom Text","Zet eigen tekst vast"
"If empty, we'll use the product name here.","Indien leeg gebruiken we de productnaam."
"Anchor Custom Title","Zet eigen titel vast"
"Product Link Block Template","Product-link block-sjabloon"
"Product Link Inline Template","Product-link inline-sjabloon"
"Catalog Category Link","Catalogus Categorie Link"
"Link to a Specified Category","Link naar een Gespecificeerde Categorie."
"Select Category...","Selecteer categorie..."
"If empty, we'll use the category name here.","Als leeg is, gebruiken we hier de naam van de categorie."
"Category Link Block Template","Categorieën-link block-sjabloon"
"Category Link Inline Template","Categorieën-link inline-sjabloon"
"Recently Viewed Products","Recent bekeken producten"
"List of Products Recently Viewed by Visitor","Overzicht van producten die recentelijk door bezoekers bekeken zijn"
"UI Component","UI-Component"
"Number of Products to display","Aantal producten om te tonen"
"Product attributes to show","Product attributen om te tonen"
"Image","Beeld"
"Learn More Link","Leer meer link"
"Buttons to show","Knoppen om te tonen"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Viewed Products Grid Template","Bekeken producten Grid-sjabloon"
"Viewed Products List Template","Bekeken producten Lijst-sjabloon"
"Viewed Products Sidebar Template","Bekeken producten Sidebar-sjabloon"
"Recently Compared Products","Recent vergeleken producten"
"List of Products Recently Compared by Visitor","Lijst van producten recentelijk vergelen per bezoeker"
"Compared Products Grid Template","Vergeleken producten Grid-sjabloon"
"Compared Products List Template","Vergeleken producten Lijst-sjabloon"
"Set","Stel (noun) / Bevestigd / Vastgelegd"
"Category Information","Categorie informatie"
"Enable Category","Categorie inschakelen"
"Include in Menu","Weergeven in menu"
"Content","inhoud"
"Category Image","Categorie afbeelding"
"Description","Omschrijving"
"Add CMS Block","CMS blok toevoegen"
"Display Settings","Weergave-instellingen"
"Display Mode","Weergavemodus"
"Anchor","Anker"
"Available Product Listing Sort By","Beschikbare productlijst sorteeropties"
"Use All","Gebruik al"
"Default Product Listing Sort By","Standaard productlijst sorteeropties"
"Layered Navigation Price Step","Gelaagde navigatie prijs stap"
"URL Key","URL sleutel"
"Meta Title","Meta titel"
"Meta Keywords","Meta-keywords"
"Meta Description","Meta-omschrijving"
"Products in Category","Producten in categorie"
"Design","Ontwerp"
"Theme","Thema"
"Layout","Lay-out"
"Layout Update XML","Lay-out update XML"
"Apply Design to Products","Ontwerp op producten toepassen"
"Schedule Design Update","Design Update plannen"
"AttributeSetText","Attributesettekst"
"StatusText","Statustekst"
"Product Image Watermarks","Watermerken voor productafbeelding"
"Base","Basis"
"Allowed file types: jpeg, gif, png.","Toegestane bestandstypes: jpeg, gif, png."
"Image Opacity","Afbeeldingstransparantie"
"Example format: 200x300.","Voorbeeld afmeting: 200 x 300."
"Image Position","Afbeeldingspositie"
"Attribute Properties","Attribuut-eigenschappen"
"Attribute Label","Attribuutlabel"
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Values","Waarden"
"Add this attribute to the list of column options in the product grid.","Dit attribuut toe aan de lijst van kolom-opties in de product-grid toevoegen."
"Add this attribute to the list of filter options in the product grid.","Dit attribuut toe aan de lijst met filteropties in het product-grid toevoegen."
"System","Systeem"
"All Store Views","Alle Winkelaanzichten"
"Delete selected items?","Verwijder geselecteerde items?"
"Delete items","Items verwijderen"
"Change status","Verander status"
"Enable","Activeer"
"Disable","Deactiveer"
"Update attributes","Atttributen bijwerken"
"Overview","Overzicht"
"Skip to the end of the images gallery","Ga naar het einde van de afbeeldingen-gallerij"
"Skip to the beginning of the images gallery","Ga naar het begin van de afbeeldingen-gallerij"
"Details","Gegevens"
"Recently Compared","Recentelijk vergelijken"
"Add To Cart","In winkelwagen"
"Add To Compare","Aan productvergelijking toevoegen"
"Learn more","Meer informatie"
"Recently Viewed","Recent bekeken"
"Save Category","Categorie opslaan"
"Delete Category","Categorie verwijderen"
"New Subcategory","Nieuwe subcategorie"
"New Root Category","Nieuwe Root Categorie"
"Set Root Category for Store","Basiscategorie voor winkel instellen"
"Custom Design","Eigen ontwerp"
"Category Data","Categoriegegevens"
"Not shared with other products","Niet gedeeld met andere producten"
"Declare attribute value saving scope","Attribuutwaarde opgeven voor opslaan van scope"
"Depends on design theme","Afhankelijk van design theme"
"We saved the price alert subscription.","Prijs-alarm is opgeslagen."
"We saved the stock notification.","We hebben het voorraad-alarm opgeslagen."
"Images and Videos","Afbeeldingen en video's"
"Click here or drag and drop to add images.","Hier klikken of sleep hierheen om afbeeldingen toe te voegen."
"Make Base","Basis maken"
"There was a category move error. %1","Er is een fout opgetreden bij het verplaatsen van de categorie. %1"
"You moved the category","Je hebt de categorie verplaatst"
"This product no longer exists.","Dit product bestaat niet meer"
"We can't find the image file.","Afbeeldingsbestand niet gevonden."
"productFactory is already set","productFactory is al ingesteld"
"Could not save product option","Kan product optie niet opslaan"
"Product option with id %1 does not exist","Product optie met id %1 bestaat niet"
"Are you sure you want to delete this category?","Weet je zeker dat je deze categorie wilt verwijderen?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Stel de hoofdcategorie in voor deze winkel in de <a href=""%1"">configuratie</a>."
"Manage Options (values of your attribute)","Beheer opties (waarden van je attribuut)"
"An attribute group named ""/name/"" already exists"".","De attribuutgroep met de naam ""/name/"" bestaat al""."
"Close panel","Sluit venster"
"Allow Multiple Boxes for Shipping.","Meerdere dozen voor verzending toestaan."
"Ok","OK"
"Watermark Default Size","Standaard-grootte van watermerk"
"Watermark Opacity, Percent","Watermerk, Percentage transparantie"
"Watermark","Watermerk"
"Watermark Position","Plaats van watermerk"
"none","geen"
"File validation failed.","Validatie van het bestand is mislukt."
"text","tekst"
"Tier Price","Staffelprijs"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Als je Magento site meerdere weergaven heeft, kun je de scope instellen naar een bepaalde weergave."
"Sort Products By","Sorteer producten op"
"Default Product Sorting","Standaard product sortering"
"Use Parent Category Settings","Bovenliggende categorie instellingen gebruiken"
"Page not found","Pagina niet gevonden"
"Full file path is expected.","Volledig bestandspad wordt verwacht."
"from","van"
"to","naar"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Het attribuut kon niet worden opgeslagen vanwege een fout. Controleer je informatie en probeer het opnieuw. Als de fout zich blijft voordoen, probeer het later opnieuw."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Het attribuut kon niet gevalideerd worden vanwege een fout. Controleer je informatie en probeer het opnieuw. Als de fout zich blijft voordoen, probeer het later opnieuw."
"Tier prices data should be array, but actually other type is received","Tier prijsgegevens moeten array zijn, maar eigenlijk is er een ander type ontvangen"
"Price indexer ""%1"" must implement %2 or %3","Prijsindexer ""%1"" moet %2 of %3 implementeren"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Je hebt product %1 toegevoegd aan de <a href=""%2"">vergelijkingslijst</a>."
"Maximum %1 characters","Maximaal %1 tekens"
"remaining","resterend"
"too many","te veel"
"Sending attribute values as package.","Attribuutwaarden verzenden als pakket."
"This value does not follow the specified format (for example, 200X300).","De waarde volgt het patroon niet (bijvoorbeeld 200X300)."
"Applies to category pages","Is van toepassing op de categorie-pagina 's"
"Remember Category Pagination","Onthoud Categorie Paginering"
"Changing may affect SEO and cache storage consumption.","Veranderen kan invloed hebben op SEO en cache opslag verbruik."
"Images Upload Configuration","Afbeeldingen Upload Configuratie"
"Quality","Kwaliteit"
"Jpeg quality for resized images 1-100%.","Jpeg kwaliteit voor aangepaste afbeeldingen 1-100%."
"Cost","Kosten"
"The ""%1"" attribute is required. Enter and try again.","Het ""%1"" attribuut is vereist. Voer in en probeer het opnieuw."
"Attributes were missing and must be specified.","Attributen ontbreken en moeten worden gespecificeerd."
"The value of Admin must be unique. (%1)","De waarde van Admin moet uniek zijn. (%1)"
"The product was unable to be saved. Please try again.","Het product kon niet worden opgeslagen. Probeer het opnieuw."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","De waarde van het ""%1"" attribuut is niet uniek. Stel een unieke waarde in en probeer het opnieuw."
"The category doesn't contain the specified product.","De categorie bevat het opgegeven product niet."
"The %1 value wasn't found in the algorithms.","De %1 waarde is niet gevonden in de algoritmen."
"The filters are invalid. Set them in an array and try again.","De filters zijn ongeldig. Zet ze in een array en probeer het opnieuw."
"The product wasn't registered.","Het product was niet geregistreerd."
"The store wasn't registered. Verify the store and try again.","De winkel is niet geregistreerd. Controleer de winkel en probeer het opnieuw."
"The ""%1"" attribute value is empty. Set the attribute and try again.","De ""%1"" attribuut waarde is leeg. Stel het attribuut in en probeer het opnieuw."
"The attribute set couldn't be created because it's based on a non-product attribute set.","De attributenset kan niet worden gemaakt want het gebaseerd op een niet-product attributenset."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","De attributenset kan niet worden gemaakt want het gebaseerd op een niet-bestaande attributenset."
"The image content is invalid. Verify the content and try again.","De inhoud van de afbeelding is ongeldig. Controleer de inhoud en probeer het opnieuw."
"The product can't be saved.","Het product kan niet worden opgeslagen."
"The new media gallery entry failed to save.","Het nieuwe media galerij item kon niet opgeslagen worden."
"No image with the provided ID was found. Verify the ID and try again.","Geen afbeelding met de opgegeven ID gevonden. Controleer het ID en probeer het opnieuw."
"The product doesn't exist. Verify and try again.","Het product bestaat niet. Controleer en probeer het opnieuw."
"The image doesn't exist. Verify and try again.","De afbeelding bestaat niet. Controleer en probeer het opnieuw."
"The image doesn't exist.","De afbeelding bestaat niet."
"The image type for the file is invalid. Enter the correct image type and try again.","Het afbeeldingstype voor het bestand is ongeldig. Voer het juiste afbeeldingstype in en probeer het opnieuw."
"The ""%1"" file couldn't be moved.","Het ""%1"" bestand kon niet verplaatst worden."
"The ProductSku is empty. Set the ProductSku and try again.","Het ProductSku is leeg. Stel het ProductSku in en probeer het opnieuw."
"The custom option couldn't be removed.","De eigen optie kan niet worden verwijderd."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","De vereiste optie(s) van het product zijn niet ingevoerd. Zorg ervoor dat de opties zijn ingevoerd en probeer het opnieuw."
"The file options format is invalid. Use a correct format and try again.","Het bestandsformaat is ongeldig. Gebruik een correct formaat en probeer het opnieuw."
"The file ""%1"" is empty. Select another file and try again.","Het bestand ""%1"" is leeg. Selecteer een ander bestand en probeer opnieuw."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","De validatie is mislukt. Zorg dat alle verplichte opties zijn ingevuld en het bestand is geüpload en probeer het dan nogmaals."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Het bestand is te groot en kan niet worden geüpload. Selecteer een bestand kleiner dan %1 MB and probeer het nogmaals."
"The required option wasn't entered. Enter the option and try again.","De vereiste optie is niet ingevuld. Vul de optie in en probeer het opnieuw."
"The file is empty. Select another file and try again.","Het bestand is leeg. Selecteer een ander bestand en probeer opnieuw."
"The text is too long. Shorten the text and try again.","De tekst is te lang. Verkort de tekst en probeer het opnieuw."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Het product dat is aangevraagd bestaat niet. Controleer het product en probeer het opnieuw. Rij ID: SKU = %SKU, Winkel ID: %storeId, Prijs vanaf: %priceFrom, Prijs tot: %priceTo."
"Tier price is unavailable for this product.","Staffelprijs is niet beschikbaar voor dit product."
"The tier_price data is invalid. Verify the data and try again.","De staffelprijs gegevens zijn ongeldig. Controleer en probeer het nogmaals."
"The group price couldn't be saved.","De groepsprijs kan niet worden opgeslagen."
"The data was invalid. Verify the data and try again.","De data is ongeldig. Controleer en probeer het nogmaals."
"Values in the %1 attributes are invalid. Verify the values and try again.","Waardes in de %1 attributen zijn ongeldig. Controleer de waardes en probeer het opnieuw."
"We can't create the ""%1"" writeable directory.","We kunnen de schrijfbare map ""%1"" niet maken."
"The file upload failed. Try to upload again.","Uploaden van het bestand is mislukt. Probeer het nogmaals."
"The product has required options. Enter the options and try again.","Het product heeft vereiste opties. Voer de opties in en probeer het opnieuw."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","De groep met ID ""%1"" bestaat niet. Controleer het ID en probeer het opnieuw."
"The attribute group can't be deleted because it contains system attributes.","De attribuutgroep kan niet worden verwijderd omdat deze systeemattributen bevat."
"The collection provider isn't registered.","De collectieaanbieder is niet geregistreerd."
"The ""%1"" link type is unknown. Verify the type and try again.","Link-type ""%1"" is onbekend. Controleer het type en probeer het opnieuw."
"The ""%1"" link type wasn't found. Verify the type and try again.","Link-type ""%1"" is niet gevonden. Controleer het type en probeer het opnieuw."
"The linked products data is invalid. Verify the data and try again.","De gekoppelde productgegevens zijn ongeldig. Controleer de gegevens en probeer het opnieuw."
"The product that was requested doesn't exist. Verify the product and try again.","Het aangevraagde product bestaat niet. Controleer het product en probeer het opnieuw."
"The Product with the ""%1"" SKU doesn't exist.","Het product met de ""%1"" SKU bestaat niet."
"The ""%1"" product couldn't be removed.","Het product ""%1"" kon niet worden verwijderd."
"Category with ID: %s doesn't exist","Categorie met ID: %s bestaat niet"
"Product Name or SKU","Productnaam of SKU"
